State_Name,Crop_Year,Crop,Area,Production,Rain_fall
Andaman and Nicobar Islands,2001,Coconut ,7015.0,25250000.0,0
Andaman and Nicobar Islands,2001,Dry ginger,344.0,1124.0,0
Andaman and Nicobar Islands,2001,Sugarcane,81.0,2379.0,0
Andaman and Nicobar Islands,2001,Sweet potato,100.0,5.0,0
Andaman and Nicobar Islands,2006,Rice,6854.3,18995.62,0
Andaman and Nicobar Islands,2006,Arecanut,1160.0,3011.7,0
Andaman and Nicobar Islands,2006,Banana,957.57,8582.0,0
Andaman and Nicobar Islands,2006,Black pepper,175.0,191.14,0
Andaman and Nicobar Islands,2006,Cashewnut,40.5,44.0,0
Andaman and Nicobar Islands,2006,Coconut ,3575.0,15400000.0,0
Andaman and Nicobar Islands,2006,Dry chillies,235.72,824.3,0
Andaman and Nicobar Islands,2006,Dry ginger,98.66,929.0,0
Andaman and Nicobar Islands,2006,other oilseeds,35.62,21.4,0
Andaman and Nicobar Islands,2006,Sugarcane,71.3,1500.0,0
Andaman and Nicobar Islands,2006,Sweet potato,30.0,240.0,0
Andaman and Nicobar Islands,2006,Tapioca,255.0,1420.0,0
Andaman and Nicobar Islands,2006,Turmeric,68.0,408.0,0
Andaman and Nicobar Islands,2010,Rice,6791.0,20118.0,0
Andaman and Nicobar Islands,2010,Sugarcane,73.33,889.2,0
Andaman and Nicobar Islands,2010,Arecanut,1296.0,2290.0,0
Andaman and Nicobar Islands,2010,Arhar/Tur,294.5,90.8,0
Andaman and Nicobar Islands,2010,Black pepper,168.0,13.5,0
Andaman and Nicobar Islands,2010,Cashewnut,84.5,39.0,0
Andaman and Nicobar Islands,2010,Dry chillies,254.0,402.0,0
Andaman and Nicobar Islands,2010,Dry ginger,110.0,1011.84,0
Andaman and Nicobar Islands,2010,Groundnut,4.75,6.8,0
Andaman and Nicobar Islands,2010,Maize,86.7,96.4,0
Andaman and Nicobar Islands,2010,Moong(Green Gram),1168.6,556.55,0
Andaman and Nicobar Islands,2010,Sunflower,2.9,1.9,0
Andaman and Nicobar Islands,2010,Sweet potato,109.0,480.0,0
Andaman and Nicobar Islands,2010,Turmeric,68.0,376.5,0
Andaman and Nicobar Islands,2010,Urad,1059.5,458.79,0
Andaman and Nicobar Islands,2010,Banana,657.0,7968.0,0
Andaman and Nicobar Islands,2010,Coconut ,3668.0,12700000.0,0
Andaman and Nicobar Islands,2010,Tapioca,186.5,1355.0,0
Andaman and Nicobar Islands,2002,Rice,10695.8,31600.82,0
Andaman and Nicobar Islands,2002,Arecanut,3105.0,5267.0,0
Andaman and Nicobar Islands,2002,Banana,1524.0,10882.0,0
Andaman and Nicobar Islands,2002,Black pepper,487.0,102.5,0
Andaman and Nicobar Islands,2002,Cashewnut,81.0,24.0,0
Andaman and Nicobar Islands,2002,Coconut ,7060.0,26830000.0,0
Andaman and Nicobar Islands,2002,Dry chillies,239.0,20.9,0
Andaman and Nicobar Islands,2002,Dry ginger,352.0,1145.0,0
Andaman and Nicobar Islands,2002,other oilseeds,85.1,40.31,0
Andaman and Nicobar Islands,2002,Sugarcane,455.0,13760.0,0
Andaman and Nicobar Islands,2003,Rice,10509.37,30760.7,0
Andaman and Nicobar Islands,2003,Arecanut,3118.0,5182.0,0
Andaman and Nicobar Islands,2003,Banana,1530.0,11558.0,0
Andaman and Nicobar Islands,2003,Black pepper,497.0,104.37,0
Andaman and Nicobar Islands,2003,Cashewnut,116.5,26.14,0
Andaman and Nicobar Islands,2003,Coconut ,7110.0,26660000.0,0
Andaman and Nicobar Islands,2003,Dry chillies,340.0,578.0,0
Andaman and Nicobar Islands,2003,Dry ginger,406.0,1299.2,0
Andaman and Nicobar Islands,2003,other oilseeds,82.09,35.51,0
Andaman and Nicobar Islands,2003,Sugarcane,268.0,2879.52,0
Andaman and Nicobar Islands,2004,Rice,10681.98,29119.66,0
Andaman and Nicobar Islands,2004,Arecanut,3160.67,3975.2,0
Andaman and Nicobar Islands,2004,Banana,1912.1,17374.4,0
Andaman and Nicobar Islands,2004,Black pepper,570.0,104.36,0
Andaman and Nicobar Islands,2004,Cashewnut,116.5,25.1,0
Andaman and Nicobar Islands,2004,Coconut ,7156.7,34750000.0,0
Andaman and Nicobar Islands,2004,Dry chillies,340.0,822.8,0
Andaman and Nicobar Islands,2004,Dry ginger,410.0,1462.0,0
Andaman and Nicobar Islands,2004,other oilseeds,89.3,46.5,0
Andaman and Nicobar Islands,2004,Sugarcane,145.26,1560.0,0
Andaman and Nicobar Islands,2005,Rice,8683.38,25870.98,0
Andaman and Nicobar Islands,2005,Arecanut,3250.78,3058.46,0
Andaman and Nicobar Islands,2005,Banana,1656.8,10251.13,0
Andaman and Nicobar Islands,2005,Black pepper,656.45,35.95,0
Andaman and Nicobar Islands,2005,Cashewnut,118.5,30.22,0
Andaman and Nicobar Islands,2005,Coconut ,7050.45,26430000.0,0
Andaman and Nicobar Islands,2005,Dry chillies,370.7,877.6,0
Andaman and Nicobar Islands,2005,Dry ginger,200.0,1800.0,0
Andaman and Nicobar Islands,2005,other oilseeds,53.55,34.2,0
Andaman and Nicobar Islands,2005,Sugarcane,128.02,2448.2,0
Andaman and Nicobar Islands,2005,Sweet potato,131.9,700.35,0
Andaman and Nicobar Islands,2005,Tapioca,254.5,1480.0,0
Andaman and Nicobar Islands,2005,Turmeric,81.7,572.0,0
Andaman and Nicobar Islands,2006,Rice,921.87,2539.64,0
Andaman and Nicobar Islands,2006,Arecanut,2000.0,2350.0,0
Andaman and Nicobar Islands,2006,Banana,483.0,4150.0,0
Andaman and Nicobar Islands,2006,Black pepper,413.1,20.18,0
Andaman and Nicobar Islands,2006,Cashewnut,79.5,26.0,0
Andaman and Nicobar Islands,2006,Coconut ,3483.09,14190000.0,0
Andaman and Nicobar Islands,2006,Dry chillies,124.6,34.7,0
Andaman and Nicobar Islands,2006,Dry ginger,100.9,900.0,0
Andaman and Nicobar Islands,2006,other oilseeds,24.0,14.98,0
Andaman and Nicobar Islands,2006,Sugarcane,53.5,999.5,0
Andaman and Nicobar Islands,2006,Sweet potato,30.4,220.0,0
Andaman and Nicobar Islands,2006,Tapioca,40.0,160.0,0
Andaman and Nicobar Islands,2006,Turmeric,10.0,60.0,0
Andaman and Nicobar Islands,2010,Rice,1595.5,3788.0,0
Andaman and Nicobar Islands,2010,Sugarcane,67.5,402.0,0
Andaman and Nicobar Islands,2010,Arecanut,1912.0,1900.0,0
Andaman and Nicobar Islands,2010,Arhar/Tur,20.5,13.2,0
Andaman and Nicobar Islands,2010,Black pepper,409.0,98.0,0
Andaman and Nicobar Islands,2010,Cashewnut,15.0,10.5,0
Andaman and Nicobar Islands,2010,Dry chillies,128.0,148.0,0
Andaman and Nicobar Islands,2010,Dry ginger,94.0,828.52,0
Andaman and Nicobar Islands,2010,Groundnut,15.5,7.6,0
Andaman and Nicobar Islands,2010,Maize,73.0,253.0,0
Andaman and Nicobar Islands,2010,Moong(Green Gram),29.9,17.85,0
Andaman and Nicobar Islands,2010,Sunflower,1.0,0.5,0
Andaman and Nicobar Islands,2010,Sweet potato,32.0,235.0,0
Andaman and Nicobar Islands,2010,Turmeric,10.0,105.0,0
Andaman and Nicobar Islands,2010,Urad,34.0,15.05,0
Andaman and Nicobar Islands,2010,Banana,360.0,5517.0,0
Andaman and Nicobar Islands,2010,Coconut ,3540.0,11000000.0,0
Andaman and Nicobar Islands,2010,Tapioca,22.5,220.0,0
Arunachal Pradesh,2004,Maize,2453.0,2674.0,0
Arunachal Pradesh,2004,Rice,3342.0,1914.0,0
Arunachal Pradesh,2004,Small millets,532.0,495.0,0
Arunachal Pradesh,2004,Wheat,30.0,60.0,0
Arunachal Pradesh,2004,Dry chillies,13.0,18.0,0
Arunachal Pradesh,2004,Dry ginger,60.0,420.0,0
Arunachal Pradesh,2004,Potato,86.0,688.0,0
Arunachal Pradesh,2004,Sugarcane,5.0,50.0,0
Arunachal Pradesh,2004,Turmeric,8.0,20.0,0
Arunachal Pradesh,2005,Maize,3000.0,2700.0,0
Arunachal Pradesh,2005,Rice,3400.0,5000.0,0
Arunachal Pradesh,2005,Small millets,585.0,525.0,0
Arunachal Pradesh,2005,Wheat,32.0,65.0,0
Arunachal Pradesh,2005,Dry chillies,20.0,28.0,0
Arunachal Pradesh,2005,Dry ginger,65.0,455.0,0
Arunachal Pradesh,2005,Potato,90.0,720.0,0
Arunachal Pradesh,2005,Sugarcane,7.0,70.0,0
Arunachal Pradesh,2005,Turmeric,10.0,25.0,0
Arunachal Pradesh,2006,Maize,3234.0,3719.0,0
Arunachal Pradesh,2006,Rice,4060.0,3004.0,0
Arunachal Pradesh,2006,Small millets,586.0,492.0,0
Arunachal Pradesh,2006,Wheat,34.0,73.0,0
Arunachal Pradesh,2006,Dry chillies,21.0,30.0,0
Arunachal Pradesh,2006,Dry ginger,158.0,1199.0,0
Arunachal Pradesh,2006,Oilseeds total,76.0,75.0,0
Arunachal Pradesh,2006,Potato,102.0,925.0,0
Arunachal Pradesh,2006,Sugarcane,7.0,7.0,0
Arunachal Pradesh,2006,Turmeric,15.0,76.0,0
Arunachal Pradesh,2007,Maize,3360.0,3763.0,0
Arunachal Pradesh,2007,Rice,4085.0,2530.0,0
Arunachal Pradesh,2007,Small millets,635.0,521.0,0
Arunachal Pradesh,2007,Wheat,30.0,48.0,0
Arunachal Pradesh,2007,Dry chillies,22.0,314.0,0
Arunachal Pradesh,2007,Dry ginger,160.0,1179.0,0
Arunachal Pradesh,2007,Oilseeds total,95.0,98.0,0
Arunachal Pradesh,2007,Potato,104.0,847.0,0
Arunachal Pradesh,2007,Sugarcane,6.0,36.0,0
Arunachal Pradesh,2007,Turmeric,18.0,90.0,0
Arunachal Pradesh,2008,Maize,3461.0,4049.0,0
Arunachal Pradesh,2008,Rice,3901.0,2516.0,0
Arunachal Pradesh,2008,Small millets,667.0,553.0,0
Arunachal Pradesh,2008,Wheat,30.0,49.0,0
Arunachal Pradesh,2008,Dry chillies,20.0,26.0,0
Arunachal Pradesh,2008,Dry ginger,168.0,1267.0,0
Arunachal Pradesh,2008,Oilseeds total,100.0,95.0,0
Arunachal Pradesh,2008,Potato,115.0,936.0,0
Arunachal Pradesh,2008,Sugarcane,7.0,38.0,0
Arunachal Pradesh,2008,Turmeric,19.0,93.0,0
Arunachal Pradesh,2009,Maize,3490.0,4257.0,0
Arunachal Pradesh,2009,Rice,3945.0,2355.33,0
Arunachal Pradesh,2009,Small millets,675.0,499.0,0
Arunachal Pradesh,2009,Wheat,25.0,37.0,0
Arunachal Pradesh,2009,Dry chillies,18.0,25.0,0
Arunachal Pradesh,2009,Dry ginger,200.0,1600.0,0
Arunachal Pradesh,2009,Oilseeds total,3945.0,3533.0,0
Arunachal Pradesh,2009,Potato,120.0,1080.0,0
Arunachal Pradesh,2009,Sugarcane,6.0,31.0,0
Arunachal Pradesh,2009,Turmeric,22.0,66.0,0
Arunachal Pradesh,2010,Maize,3450.0,4485.0,0
Arunachal Pradesh,2010,Rice,3949.0,3631.0,0
Arunachal Pradesh,2010,Small millets,695.0,556.0,0
Arunachal Pradesh,2010,Wheat,10.0,15.0,0
Arunachal Pradesh,2010,Dry chillies,20.0,30.0,0
Arunachal Pradesh,2010,Dry ginger,115.0,920.0,0
Arunachal Pradesh,2010,Oilseeds total,137.0,137.0,0
Arunachal Pradesh,2010,Potato,110.0,935.0,0
Arunachal Pradesh,2010,Turmeric,20.0,50.0,0
